Loaded 0 images, time taken: 0.02
Loaded 1000 images, time taken: 10.58
Loaded 2000 images, time taken: 20.99
Loaded 3000 images, time taken: 31.43
Loaded 4000 images, time taken: 41.80
Loaded 5000 images, time taken: 52.32
Loaded 6000 images, time taken: 62.66
Loaded 7000 images, time taken: 73.32
Loaded 8000 images, time taken: 84.13
Loaded 9000 images, time taken: 94.51
Loaded 10000 images, time taken: 105.07
Loaded 11000 images, time taken: 115.77
Loaded 12000 images, time taken: 126.29
Loaded 13000 images, time taken: 136.75
Loaded 14000 images, time taken: 147.39
Loaded 15000 images, time taken: 157.91
Loaded 16000 images, time taken: 168.41
Loaded 17000 images, time taken: 178.88
Loaded 18000 images, time taken: 189.42
Loaded 19000 images, time taken: 199.84
Loaded 20000 images, time taken: 210.12
Loaded 21000 images, time taken: 220.51
Loaded 22000 images, time taken: 231.17
Loaded 23000 images, time taken: 241.76
Loaded 24000 images, time taken: 252.32
Loaded 25000 images, time taken: 262.97
Loaded 26000 images, time taken: 273.76
Loaded 27000 images, time taken: 284.69
Loaded 28000 images, time taken: 295.46
Loaded 29000 images, time taken: 306.24
Loaded 30000 images, time taken: 316.96
Loaded 31000 images, time taken: 327.69
Loaded 32000 images, time taken: 338.48
Loaded 33000 images, time taken: 349.18
Loaded 34000 images, time taken: 359.93
Loaded 35000 images, time taken: 370.71
Loaded 36000 images, time taken: 381.61
Loaded 37000 images, time taken: 392.28
Loaded 38000 images, time taken: 402.81
Loaded 39000 images, time taken: 413.39
Loaded 40000 images, time taken: 424.17
Loaded 41000 images, time taken: 434.76
Loaded 42000 images, time taken: 445.53
Loaded 43000 images, time taken: 456.13
Loaded 44000 images, time taken: 466.95
Loaded 45000 images, time taken: 477.92
Loaded 46000 images, time taken: 488.71
Loaded 47000 images, time taken: 499.55
Loaded 48000 images, time taken: 510.21
Loaded 49000 images, time taken: 520.92
Loaded 50000 images, time taken: 531.64
Loaded 51000 images, time taken: 542.36
Loaded 52000 images, time taken: 553.01
Loaded 53000 images, time taken: 563.71
Loaded 54000 images, time taken: 574.46
Loaded 55000 images, time taken: 585.08
Loaded 56000 images, time taken: 595.41
Loaded 57000 images, time taken: 605.90
Loaded 58000 images, time taken: 616.50
Loaded 59000 images, time taken: 627.30
Loaded 60000 images, time taken: 637.72
Loaded 61000 images, time taken: 648.15
Loaded 62000 images, time taken: 659.12
Loaded 63000 images, time taken: 669.78
Loaded 64000 images, time taken: 680.30
Loaded 65000 images, time taken: 691.10
Loaded 66000 images, time taken: 701.58
Loaded 67000 images, time taken: 712.17
Loaded 68000 images, time taken: 722.88
Loaded 69000 images, time taken: 733.64
Loaded 70000 images, time taken: 744.32
Loaded 71000 images, time taken: 755.09
Loaded 72000 images, time taken: 766.01
Loaded 73000 images, time taken: 776.77
Loaded 74000 images, time taken: 787.71
Loaded 75000 images, time taken: 798.42
Loaded 76000 images, time taken: 809.24
Loaded 77000 images, time taken: 819.87
Loaded 78000 images, time taken: 830.77
Loaded 79000 images, time taken: 841.61
Loaded 80000 images, time taken: 852.23
Loaded 81000 images, time taken: 863.00
Loaded 82000 images, time taken: 873.62
Loaded 83000 images, time taken: 884.43
Loaded 84000 images, time taken: 895.22
Loaded 85000 images, time taken: 905.83
Loaded 86000 images, time taken: 916.74
Loaded 87000 images, time taken: 927.50
Loaded 88000 images, time taken: 938.02
Loaded 89000 images, time taken: 948.82
Loaded 90000 images, time taken: 959.49
Loaded 91000 images, time taken: 970.05
Loaded 92000 images, time taken: 980.79
Loaded 93000 images, time taken: 991.47
Loaded 94000 images, time taken: 1002.32
Loaded 95000 images, time taken: 1032.49
Loaded 96000 images, time taken: 1068.89
Loaded 97000 images, time taken: 1097.00
Loaded 98000 images, time taken: 1123.07
Loaded 99000 images, time taken: 1158.88
Loaded 100000 images, time taken: 1206.14
Loaded 101000 images, time taken: 1241.57
Loaded 102000 images, time taken: 1274.57
Loaded 103000 images, time taken: 1303.05
Loaded 104000 images, time taken: 1329.77
Loaded 105000 images, time taken: 1371.01
Loaded 106000 images, time taken: 1402.61
Loaded 107000 images, time taken: 1437.71
Loaded 108000 images, time taken: 1468.95
Loaded 109000 images, time taken: 1495.79
Loaded 110000 images, time taken: 1532.36
Loaded 111000 images, time taken: 1580.02
Loaded 112000 images, time taken: 1609.96
Loaded 113000 images, time taken: 1647.23
Loaded 114000 images, time taken: 1675.02
Loaded 115000 images, time taken: 1700.52
Loaded 116000 images, time taken: 1741.25
Loaded 117000 images, time taken: 1773.31
Loaded 118000 images, time taken: 1800.66
Loaded 119000 images, time taken: 1839.28
Loaded 120000 images, time taken: 1867.80
Loaded 121000 images, time taken: 1894.59
Loaded 122000 images, time taken: 1953.65
Loaded 123000 images, time taken: 1984.51
Loaded 124000 images, time taken: 2021.23
Loaded 125000 images, time taken: 2050.46
Loaded 126000 images, time taken: 2077.83
Loaded 127000 images, time taken: 2120.10
Loaded 128000 images, time taken: 2149.66
Loaded 129000 images, time taken: 2176.35
Loaded 130000 images, time taken: 2211.73
Loaded 131000 images, time taken: 2240.55
Loaded 132000 images, time taken: 2272.61
Loaded 133000 images, time taken: 2335.72
Loaded 134000 images, time taken: 2365.07
Loaded 135000 images, time taken: 2391.65
Loaded 136000 images, time taken: 2424.45
Loaded 137000 images, time taken: 2453.50
Loaded 138000 images, time taken: 2489.81
Loaded 139000 images, time taken: 2527.04
Loaded 140000 images, time taken: 2556.32
Loaded 141000 images, time taken: 2583.05
Loaded 142000 images, time taken: 2614.44
Loaded 143000 images, time taken: 2651.75
Loaded 144000 images, time taken: 2681.21
Loaded 145000 images, time taken: 2735.11
Loaded 146000 images, time taken: 2763.94
Loaded 147000 images, time taken: 2789.20
Loaded 148000 images, time taken: 2823.93
Loaded 149000 images, time taken: 2860.50
Time taken to load images: 2888.606467962265
All iamge loaded, started to write tsv

0it [00:00, ?it/s]
17367it [00:00, 39455.95it/s]
39418it [00:00, 83817.99it/s]
61921it [00:00, 120429.03it/s]
84518it [00:00, 148952.64it/s]
107108it [00:00, 170384.65it/s]
129692it [00:00, 186166.23it/s]
150000it [00:01, 145577.59it/s]
