beige,tan,white horse
0.146645188331604,0.15016643702983856,0.5379837155342102	0.9843340516090393
older,walking,old,standing man
0.07143259048461914,0.12845474481582642,0.1477929949760437,0.3271915018558502	0.880032479763031
back,black tire
0.08765476942062378,0.6074514985084534	0.8199242949485779
red truck
0.7852900624275208	0.7873027324676514
open,black,tinted,glass window
0.09996143728494644,0.1409078687429428,0.14650507271289825,0.15046830475330353	0.7413519024848938
white,green sign
0.1579723358154297,0.792553186416626	0.7002590894699097
black pant
0.9465843439102173	0.6858850121498108
black tire
0.7446321249008179	0.6801193952560425
chrome,silver handle
0.0949946865439415,0.7472295761108398	0.6714195609092712
black hat
0.9066096544265747	0.6693612337112427
