purple car
0.959556519985199	0.960903525352478
green box
0.257019579410553	0.8717259168624878
blue jean
0.9579994082450867	0.8279674053192139
blue carriage
0.6974285244941711	0.7780703902244568
white shirt
0.9697200655937195	0.7551877498626709
standing woman
0.15060220658779144	0.66199791431427
standing man
0.2113044559955597	0.6303645968437195
brown pant
0.40343815088272095	0.6272993087768555
round headlight
0.22904722392559052	0.6258922219276428
brown hair
0.6688376665115356	0.5791165828704834
